01:03:48 Loaded 500 cached emails
01:03:48 Already done: 25
01:03:48 Remaining to process: 453
01:03:48 Split into 2 chunks of size ~227
01:03:48 Starting workers...
01:41:07 [168/453] 19e07c8d... (2239s, 0.08/s, ETA 3798s)
01:41:16 [169/453] 19df907a... (2248s, 0.08/s, ETA 3778s)
01:41:28 [170/453] 19e07a92... (2260s, 0.08/s, ETA 3762s)
01:41:40 [171/453] 19df9054... (2272s, 0.08/s, ETA 3747s)
01:41:52 [172/453] 19e07558... (2284s, 0.08/s, ETA 3732s)
01:42:02 [173/453] 19df8f11... (2294s, 0.08/s, ETA 3713s)
01:42:19 [174/453] 19e06e81... (2311s, 0.08/s, ETA 3706s)
01:42:31 [175/453] 19df8fe4... (2323s, 0.08/s, ETA 3690s)
01:42:51 [176/453] 19e07b33... (2343s, 0.08/s, ETA 3688s)
01:42:58 [177/453] 19df8e7c... (2350s, 0.08/s, ETA 3664s)
01:43:22 [178/453] 19e05f5b... (2374s, 0.07/s, ETA 3668s)
01:43:26 [179/453] 19df8ec8... (2378s, 0.08/s, ETA 3640s)
01:43:39 [180/453] 19e06568... (2391s, 0.08/s, ETA 3627s)
01:43:46 [181/453] 19df8e63... (2398s, 0.08/s, ETA 3604s)
01:43:58 [182/453] 19e06dfe... (2410s, 0.08/s, ETA 3589s)
01:44:06 [183/453] 19df8de9... (2418s, 0.08/s, ETA 3568s)
01:44:29 [184/453] 19e05161... (2441s, 0.08/s, ETA 3569s)
01:44:57 [185/453] 19df8e69... (2469s, 0.07/s, ETA 3577s)
01:44:57 [186/453] 19e051c9... (2469s, 0.08/s, ETA 3545s)
01:45:20 [187/453] 19e048aa... (2492s, 0.08/s, ETA 3545s)
01:45:21 [188/453] 19df8de4... (2493s, 0.08/s, ETA 3514s)
01:45:32 [189/453] 19df8dc6... (2504s, 0.08/s, ETA 3498s)
01:45:34 [190/453] 19e05136... (2506s, 0.08/s, ETA 3468s)
01:45:43 [191/453] 19e048ab... (2515s, 0.08/s, ETA 3450s)
01:45:46 [192/453] 19df8dc6... (2518s, 0.08/s, ETA 3423s)
01:45:56 [193/453] 19df8dad... (2528s, 0.08/s, ETA 3406s)
01:46:01 [194/453] 19e0473c... (2533s, 0.08/s, ETA 3381s)
01:46:08 [195/453] 19df8d30... (2540s, 0.08/s, ETA 3361s)
01:46:13 [196/453] 19e045a1... (2545s, 0.08/s, ETA 3337s)
01:46:21 [197/453] 19df8cf3... (2553s, 0.08/s, ETA 3318s)
01:46:38 [198/453] 19e04245... (2570s, 0.08/s, ETA 3310s)
01:46:46 [199/453] 19df8cb8... (2578s, 0.08/s, ETA 3291s)
01:46:49 [200/453] 19e04228... (2581s, 0.08/s, ETA 3266s)
01:47:00 [201/453] 19df8c71... (2592s, 0.08/s, ETA 3250s)
01:47:04 [202/453] 19e03d69... (2596s, 0.08/s, ETA 3226s)
01:47:16 [203/453] 19e03d8c... (2608s, 0.08/s, ETA 3211s)
01:47:26 [204/453] 19df8c67... (2618s, 0.08/s, ETA 3196s)
01:47:33 [205/453] 19e03d18... (2625s, 0.08/s, ETA 3176s)
01:47:40 [206/453] 19df8c69... (2632s, 0.08/s, ETA 3156s)
01:47:54 [207/453] 19e03d13... (2646s, 0.08/s, ETA 3145s)
01:47:58 [208/453] 19df8c51... (2650s, 0.08/s, ETA 3121s)
